Topic,Sub-topic,Question,Explanation,Image
"Alcohols, Phenols & Ethers",Nomenclature,"State the IUPAC nomenclature of alcohols, phenols and ethers.","SHORT ANSWER: Alcohols: replace -e of the alkane with -ol (e.g. ethanol). Phenols: named as substituted phenols. Ethers: named as alkoxyalkanes (smaller group as alkoxy substituent), e.g. CH3OC2H5 = methoxyethane.

LONG ANSWER: For alcohols, choose the longest chain containing -OH, number for the lowest locant to -OH, and add -ol. Phenol is the base name for hydroxybenzene; substituents are given locants (e.g. 2-nitrophenol). For ethers, the larger alkyl group is the parent chain and the smaller R-O- group is named as an alkoxy prefix.

NEET FOCUS: Ether = alkoxyalkane (e.g. ethoxyethane = diethyl ether). Alcohols suffix '-ol'; -OH gets the lowest locant.",
"Alcohols, Phenols & Ethers",Prep from Alkene,How are alcohols prepared from alkenes? (acid-catalysed hydration and hydroboration),"SHORT ANSWER: (1) Acid-catalysed hydration: alkene + H2O (dilute H2SO4) -> alcohol, following Markovnikov's rule. (2) Hydroboration-oxidation: alkene + B2H6 then H2O2/OH- -> alcohol with anti-Markovnikov orientation.

LONG ANSWER: In acid-catalysed hydration, the alkene is protonated to the more stable carbocation (Markovnikov), then water adds, so -OH goes to the more substituted carbon. In hydroboration-oxidation, BH3 adds with boron on the less hindered carbon; oxidation replaces B with OH, giving the anti-Markovnikov alcohol without rearrangement.

NEET FOCUS: Acid hydration -> Markovnikov (-OH on more substituted C). Hydroboration-oxidation -> anti-Markovnikov (-OH on less substituted C), syn addition, no rearrangement.",
"Alcohols, Phenols & Ethers",Prep from Carbonyl,How are alcohols prepared by reduction of carbonyl compounds?,"SHORT ANSWER: Aldehydes are reduced to primary alcohols and ketones to secondary alcohols, using H2/catalyst (Ni, Pt, Pd) or hydride reagents like NaBH4 or LiAlH4.

LONG ANSWER: Catalytic hydrogenation or metal-hydride reduction adds hydrogen across the C=O group. RCHO -> RCH2OH (1 degree alcohol); R2CO -> R2CHOH (2 degree alcohol). NaBH4 is a mild reducing agent (reduces aldehydes/ketones but not esters/acids), while LiAlH4 is a strong reducing agent that also reduces acids and esters.

NEET FOCUS: Aldehyde -> 1 degree alcohol; ketone -> 2 degree alcohol. NaBH4 = mild (carbonyl only); LiAlH4 = strong (also reduces -COOH and esters).",
"Alcohols, Phenols & Ethers",Prep from Acids,How are alcohols obtained by reduction of carboxylic acids and esters?,"SHORT ANSWER: Carboxylic acids and esters are reduced to primary alcohols using lithium aluminium hydride (LiAlH4), a powerful reducing agent (catalytic H2 does not reduce -COOH easily).

LONG ANSWER: RCOOH + LiAlH4 -> RCH2OH (primary alcohol). Esters (RCOOR') are similarly reduced by LiAlH4 to give the corresponding primary alcohol RCH2OH plus R'OH. Because the carboxyl group is resistant to mild reducing agents, the strong hydride LiAlH4 (or B2H6) is required.

NEET FOCUS: -COOH and esters -> 1 degree alcohol with LiAlH4. NaBH4 and H2/Ni do NOT reduce carboxylic acids - a frequent distinguishing point.",
"Alcohols, Phenols & Ethers",Grignard,How are alcohols prepared using Grignard reagents?,"SHORT ANSWER: A Grignard reagent (R-MgX) adds to a carbonyl compound, and the product on hydrolysis gives an alcohol: formaldehyde -> 1 degree alcohol, other aldehydes -> 2 degree alcohol, ketones -> 3 degree alcohol.

LONG ANSWER: The nucleophilic carbon of R-MgX attacks the electrophilic carbonyl carbon, forming an alkoxide that is hydrolysed (dilute acid) to the alcohol. HCHO gives a primary alcohol; an aldehyde RCHO gives a secondary alcohol; a ketone gives a tertiary alcohol. Grignard reagents must be kept absolutely dry, as water destroys them.

NEET FOCUS: Grignard + HCHO -> 1 degree; + RCHO -> 2 degree; + ketone -> 3 degree alcohol; + CO2 -> carboxylic acid. Grignard reagents react with any acidic H (water, alcohol), so moisture must be excluded.",
"Alcohols, Phenols & Ethers",Acidity,"Compare the acidity of alcohols, water and phenols.","SHORT ANSWER: Acidity order: phenol > water > alcohol. Phenols are far more acidic than alcohols because the phenoxide ion is resonance-stabilised, whereas the alkoxide is destabilised by the electron-donating alkyl group.

LONG ANSWER: When the -OH loses a proton, phenol gives a phenoxide ion in which the negative charge is delocalised into the ring (resonance), making the loss easy - hence phenol is acidic (pKa ~10). In alcohols, the alkyl group pushes electron density onto the oxygen (+I effect), destabilising the alkoxide and reducing acidity below even water. So phenol > water > 1 degree > 2 degree > 3 degree alcohol.

NEET FOCUS: Acidity: phenol > water > alcohol. Among alcohols: 1 degree > 2 degree > 3 degree (alkyl +I destabilises alkoxide). Phenoxide is resonance-stabilised.",
"Alcohols, Phenols & Ethers",Phenol Substituent,How do electron-withdrawing and electron-donating groups affect the acidity of phenol?,"SHORT ANSWER: Electron-withdrawing groups (e.g. -NO2) at ortho/para positions increase phenol's acidity (stabilise phenoxide); electron-donating groups (e.g. -CH3, -OCH3) decrease acidity.

LONG ANSWER: An electron-withdrawing substituent disperses the negative charge of the phenoxide ion, stabilising it and making proton loss easier - so nitrophenols are stronger acids than phenol (picric acid, 2,4,6-trinitrophenol, is highly acidic). Electron-donating groups intensify the negative charge, destabilising the phenoxide and lowering acidity.

NEET FOCUS: -NO2 (especially at o/p) sharply increases phenol acidity (picric acid). -CH3/-OCH3 decrease it. Effect is strongest from ortho/para positions (resonance).",
"Alcohols, Phenols & Ethers",O-H Reactions,Describe reactions of alcohols and phenols involving the O-H bond.,"SHORT ANSWER: Both react with active metals (Na, K) to liberate H2 forming alkoxides/phenoxides; both undergo esterification with acids/acid chlorides; phenols give a characteristic violet colour with neutral FeCl3.

LONG ANSWER: Reaction with sodium: 2R-OH + 2Na -> 2R-ONa + H2 (alcohols react less vigorously than water; phenols form sodium phenoxide). Esterification: R-OH + R'COOH -> ester + water (acid-catalysed; faster with acid chlorides/anhydrides). The FeCl3 test (violet/blue colour) distinguishes phenols from alcohols. Phenols are also acidic enough to react with NaOH (alcohols do not).

NEET FOCUS: Phenol reacts with NaOH (forms phenoxide) but alcohols do NOT - a key distinction. FeCl3 gives a violet colour with phenols. Both release H2 with Na.",
"Alcohols, Phenols & Ethers",Esterification,What is esterification? Write the general reaction.,"SHORT ANSWER: Esterification is the acid-catalysed reaction of an alcohol with a carboxylic acid to form an ester and water: R-OH + R'COOH <=> R'COOR + H2O.

LONG ANSWER: The reaction is reversible and catalysed by conc. H2SO4 (which also absorbs water, shifting equilibrium toward the ester). It proceeds faster with acid chlorides or anhydrides than with the acid itself. Esters have pleasant fruity smells and are used in flavours and perfumes. The reverse reaction is hydrolysis (or saponification with a base).

NEET FOCUS: R-OH + R'COOH -(H2SO4)-> ester + water (reversible). Acid chlorides/anhydrides esterify faster. Reverse = hydrolysis/saponification.",
"Alcohols, Phenols & Ethers",Dehydration,How does dehydration of alcohols give alkenes or ethers?,"SHORT ANSWER: Alcohols dehydrate with conc. H2SO4: at high temperature (~443 K) giving an alkene (intramolecular), and at lower temperature (~413 K, excess alcohol) giving an ether (intermolecular).

LONG ANSWER: Heating ethanol with excess conc. H2SO4 at 443 K removes water within one molecule to give ethene (alkene). At ~413 K with excess ethanol, two molecules combine with loss of one water to give diethyl ether (this is the industrial Williamson-type/acidic ether synthesis). Ease of dehydration of alcohols: 3 degree > 2 degree > 1 degree.

NEET FOCUS: 443 K -> alkene; 413 K (excess alcohol) -> ether. Dehydration ease: 3 degree > 2 degree > 1 degree (more stable carbocation/alkene).",
"Alcohols, Phenols & Ethers",Oxidation,"What are the oxidation products of primary, secondary and tertiary alcohols?","SHORT ANSWER: 1 degree alcohols -> aldehydes -> carboxylic acids; 2 degree alcohols -> ketones; 3 degree alcohols resist oxidation (only under drastic conditions, with C-C cleavage).

LONG ANSWER: Primary alcohols oxidise (KMnO4, K2Cr2O7) first to aldehydes, then further to carboxylic acids; mild reagents (PCC) stop at the aldehyde. Secondary alcohols give ketones (which resist further oxidation). Tertiary alcohols have no H on the -OH carbon, so they resist oxidation except under strong conditions that break carbon-carbon bonds.

NEET FOCUS: 1 degree -> aldehyde -> acid; 2 degree -> ketone; 3 degree -> no easy oxidation. PCC stops a 1 degree alcohol at the aldehyde stage (mild oxidant).",
"Alcohols, Phenols & Ethers",Williamson,Describe the Williamson ether synthesis.,"SHORT ANSWER: Williamson synthesis prepares ethers by reacting an alkyl halide with a sodium alkoxide (or phenoxide): R-ONa + R'-X -> R-O-R' + NaX. It is an SN2 reaction.

LONG ANSWER: The alkoxide ion acts as a nucleophile and displaces the halide from the alkyl halide (SN2). It is the best general method, especially for unsymmetrical ethers. To avoid elimination, the alkyl halide should be primary (3 degree halides give alkenes instead); the alkoxide may be bulky/secondary or tertiary.

NEET FOCUS: Williamson = alkoxide + 1 degree alkyl halide (SN2). Use primary halide to avoid elimination. Can make aryl alkyl ethers using phenoxide + alkyl halide.",
"Alcohols, Phenols & Ethers",Ether Cleavage,How do ethers react with HI/HBr (cleavage of C-O bond)?,"SHORT ANSWER: Ethers are cleaved by hot concentrated HI/HBr: R-O-R' + HX -> R-X + R'-OH (then possibly R'-X). The smaller/less hindered alkyl group usually forms the alkyl halide.

LONG ANSWER: Protonation of the ether oxygen is followed by nucleophilic attack of the halide ion. With excess HX both fragments may become alkyl halides. For mixed ethers with one methyl or primary group, the halide attacks the less hindered carbon (SN2); for tertiary/aryl groups, the cleavage follows SN1 or forms phenol (the aryl-oxygen bond does not break, so an aryl alkyl ether gives phenol + alkyl halide).

NEET FOCUS: Anisole (C6H5-O-CH3) + HI -> phenol + CH3I (the aryl-O bond is NOT cleaved). With dialkyl ethers, the smaller group forms the iodide.",
"Alcohols, Phenols & Ethers",Distinguish Alcohols,"How can primary, secondary and tertiary alcohols be distinguished (Lucas test)?","SHORT ANSWER: The Lucas test (conc. HCl + anhydrous ZnCl2) distinguishes them by the time to form a cloudy alkyl chloride: 3 degree alcohols react immediately, 2 degree in ~5 minutes, and 1 degree alcohols do not react at room temperature.

LONG ANSWER: The reaction proceeds via a carbocation (SN1), so tertiary alcohols (most stable carbocation) turn cloudy at once, secondary alcohols within a few minutes, and primary alcohols only on heating. The cloudiness is due to the insoluble alkyl chloride formed. Victor Meyer's test also distinguishes them.

NEET FOCUS: Lucas test (HCl + ZnCl2): 3 degree -> immediate turbidity; 2 degree -> turbidity in ~5 min; 1 degree -> no reaction at room temperature. Based on carbocation stability (SN1).",
"Alcohols, Phenols & Ethers",Kolbe Reimer,Name two important electrophilic substitution reactions of phenol (Kolbe and Reimer-Tiemann).,"SHORT ANSWER: Kolbe's reaction: sodium phenoxide + CO2 (under pressure) -> salicylic acid (o-hydroxybenzoic acid). Reimer-Tiemann reaction: phenol + CHCl3/NaOH -> salicylaldehyde (o-hydroxybenzaldehyde).

LONG ANSWER: In Kolbe's reaction, the phenoxide ion attacks carbon dioxide and after acidification gives ortho-hydroxybenzoic acid (a precursor of aspirin). In the Reimer-Tiemann reaction, chloroform with NaOH generates dichlorocarbene, which attacks the phenoxide ring at the ortho position; hydrolysis gives 2-hydroxybenzaldehyde. The phenolic -OH is strongly ortho/para-directing and ring-activating.

NEET FOCUS: Kolbe -> salicylic acid (with CO2). Reimer-Tiemann -> salicylaldehyde (with CHCl3/NaOH, via dichlorocarbene). -OH is o/p-directing and activating.",
"Alcohols, Phenols & Ethers",Ethanol Industrial,How is ethanol manufactured industrially (fermentation)?,"SHORT ANSWER: Ethanol is produced industrially by fermentation of sugars (from molasses/starch) using enzymes in yeast: C6H12O6 -(zymase)-> 2 C2H5OH + 2 CO2.

LONG ANSWER: Starch is first hydrolysed to glucose (by diastase/maltase from malt), then the enzyme zymase in yeast converts glucose to ethanol and carbon dioxide. The dilute alcohol is concentrated by fractional distillation (rectified spirit ~95%). Anhydrous (absolute) alcohol is obtained by removing the remaining water using azeotrope-breaking methods.

NEET FOCUS: Fermentation: glucose -(zymase)-> ethanol + CO2. Invertase converts sucrose to glucose/fructose; zymase converts glucose to ethanol. Rectified spirit ~95% ethanol.",
"Alcohols, Phenols & Ethers",Boiling Point,Why do alcohols have higher boiling points than ethers or hydrocarbons of comparable mass?,"SHORT ANSWER: Because alcohols form intermolecular hydrogen bonds through their -OH groups, which require extra energy to break, whereas ethers and hydrocarbons cannot hydrogen bond among themselves.

LONG ANSWER: The -OH hydrogen of one alcohol molecule bonds to the oxygen of another, creating an extensive hydrogen-bonded network and raising the boiling point well above that of ethers and alkanes of similar molar mass. Ethers lack an O-H hydrogen, so they have only weak dipole-dipole/van der Waals forces and lower boiling points. Boiling point of alcohols also rises with chain length and falls with branching.

NEET FOCUS: Alcohols H-bond -> high boiling points; ethers cannot self H-bond -> low boiling points (close to alkanes). Branching lowers boiling point (less surface contact).",
"Alcohols, Phenols & Ethers",Glycerol Glycol,Identify ethylene glycol and glycerol and one use of each.,"SHORT ANSWER: Ethylene glycol (ethane-1,2-diol) is a dihydric alcohol used as antifreeze and in polyester (PET) manufacture. Glycerol (propane-1,2,3-triol) is a trihydric alcohol used in cosmetics, medicines and to make nitroglycerine (explosive).

LONG ANSWER: Ethylene glycol's two -OH groups make it highly soluble and high-boiling, ideal as a radiator antifreeze and as a monomer for polyethylene terephthalate. Glycerol's three -OH groups make it a sweet, viscous, hygroscopic liquid used as a moisturiser, sweetener and as the basis of trinitroglycerine (dynamite) and alkyd resins.

NEET FOCUS: Ethylene glycol = antifreeze + PET. Glycerol = nitroglycerine/dynamite, cosmetics. Both are polyhydric alcohols (more -OH = higher boiling point & solubility).",
